,,,,,,,,,,,,,,,,,,,,,,,,,,,,開始日,2018/4/1,2018/7/19,2018/9/1,2018/7/26,2018/8/8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,終了日,2018/7/18,2018/7/25,2018/9/13,2018/8/15,2018/8/15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,開始日,2018/9/14,,,2018/8/16,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,終了日,2018/11/30,,,2018/8/31,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,開始日,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,終了日,,,,,,
,,AT卒業日,MT卒業日,限定割,夏特,春得,ゴールド,プラチナ,年末一時帰宅,特割,特割I・II,特割II,学生特割／特割,学生特割,シングル特割,曜日限定シングル特割,自炊シングル特割・シングル特割,曜日限定特割,シングルオフ特,限定割／特割,一時帰宅（一時帰宅交通費支給）,一時帰宅（一時帰宅交通費自己負担）,二輪同時特割,オフ特,,,,,水色,オレンジ,緑,ピンク,紫,黄色
2018/4/1,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/2,月,2018/4/24,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/4/3,火,,2018/4/26,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/4/4,水,2018/4/26,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/4/5,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/6,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/7,土,,2018/4/30,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/4/8,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/9,月,2018/5/1,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/4/10,火,,2018/5/3,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/4/11,水,2018/5/3,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/4/12,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/13,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/14,土,,2018/5/7,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/4/15,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/16,月,2018/5/8,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/4/17,火,,2018/5/10,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/4/18,水,2018/5/10,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/4/19,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/20,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/21,土,,2018/5/14,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/4/22,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/23,月,2018/5/15,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/4/24,火,,2018/5/17,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/4/25,水,2018/5/17,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/4/26,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/27,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/28,土,,2018/5/21,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/4/29,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/30,月,2018/5/22,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/5/1,火,,2018/5/24,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/5/2,水,2018/5/24,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/5/3,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/5/4,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/5/5,土,,2018/5/28,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
