<br>カレンダーの<span>●</span>の日,,詳細については<a href="https://happymenkyo.com/ask">オペレーター</a>までお問い合わせください,,,,
企画名,タイトル,注釈,対象入校日,金額,金額追加情報,備考
限定割,ホテルシングルA,,,202500,13000,「限定割」のホテルプランは夕食抜きの場合税抜き　￥10000　割引で販売<br>カレンダーの<span>●</span>の日
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
オフシーズン一時帰宅コース,,,,,,詳細については<a href="https://happymenkyo.com/ask">オペレーター</a>までお問い合わせください
シングルユース,,,,,,レギュラー部屋（2～4人）をレギュラー料金でおひとりでご利用できます。<br/>※ご希望の方は、お申し込み時に要申請。<br/>※対象期間：10/1～1/16、3/25～5/31
グループユース,,,,,,レギュラー部屋（2～6人）をレギュラー料金でグループ(2名以上）でご利用可が能。<br/>※ご希望の方は、お申し込み時に要申請。<br/>
特割,ホテルシングルC(夕食なし）（AT)<br/>30歳まで,,,192500,13000,詳細については<a href="https://happymenkyo.com/ask">オペレーター</a>までお問い合わせください<br>カレンダーの<span>●</span>の日
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,48000,,,,,
