カレンダーの<span>●</span>の日,,,,,,
適応,企画名,宿泊プラン（車種）,,税抜金額,MT時のUP金額_x000D_<br/>（税抜）,入校者への案内内容_x000D_<br/>　(対象日は「カレンダー」に●で表示します。）
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
オフシーズン一時帰宅コース,,,,,,カレンダーの<span>●</span>の日
シングルユース,,,,,,レギュラー部屋（2～4人）をレギュラー料金でおひとりでご利用できます。<br/>※ご希望の方は、お申し込み時に要申請。<br/>※対象期間：10/1～1/16、3/25～5/31
グループユース,,,,,,レギュラー部屋（2～6人）をレギュラー料金でグループ(2名以上）でご利用可が能。<br/>※ご希望の方は、お申し込み時に要申請。<br/>
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,48000,,,,,
