ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,宿泊プラン,部屋定員,性別,住所,電話番号,部屋タイプ,寝具,門限,学校から所要時間,管理人,バス,トイレ,テレビ,DVD/ビデオ,冷蔵庫,レンジ,ポット,ドライヤー,ボディソープ,シャンプー,歯磨きセット,ヒゲソリ,バスタオル,フェイスタオル,寝間着,スリッパ,クローゼット,ロッカー,エアコン,部屋掃除,シーツ交換,洗濯機,乾燥機,洗濯洗剤,ハンガー,洗濯干しスペース,タバコ,飲酒,インターネット,貸し自転車,朝食場所／時間,朝食内容,昼食場所／時間,昼食内容,夕食場所／時間,夕食内容,最寄り駅,銀行ATM,病院,コンビニ,郵便局,その他
〇,レギュラー,ビジネスホテル芽桜(男),レギュラー,2～4名,男性,福井市手寄1-11-26,0776-22-4621,和・洋室,布団・ベッド,×,スクールバス7分,常駐,共同17：00～22：30,共用,○,×,○共用1台,×,○,有り/共用,×ご持参ください,×ご持参ください,×ご持参ください,×ご持参ください,×ご持参ください,×ご持参ください,×,○,○,×,各室/自己管理,管理人毎日,管理人毎日,○1回200円,○30分100円,×,個人,ベランダ,○,○,Wi-Fi,×,ホテル食堂（定食/ご飯おかわり自由）,7：00～9：00,教習所（お弁当）,11：30～14：30,ホテル食堂（定食/ご飯おかわり自由）,18：00～21：00頃,徒歩3分,徒歩5分,車5分,ローソン徒歩5分,徒歩5分,
〇,レギュラー,室永旅館(女),レギュラー,2～8名,女性,福井市宝永3丁目7番16号,0776-22-5204,和・洋室,布団・ベッド,基本的にはないが23時迄,スクールバス7分,常駐,共同24時間,共用,○,×,○部屋ごと共用1台（部屋によっては無い場合も有）,×,○（各室）,各部屋・共同,○,○,○,×ご持参ください,○,○,×,○,○,×,各室/自己管理,管理人随時,管理人随時,○1回200円,○15分100円,○50円,個人で３個,3F物干場,○,○,Wi-Fi,○（宿舎に3台）,旅館の食堂（定食/ご飯おかわり自由）,7：00～9：30頃,教習所（お弁当）,11：30～14：30,旅館の食堂（定食/ご飯おかわり自由）,18：00～21：00頃,徒歩10分,徒歩5分,車5分,ローソン徒歩5分,徒歩5分,
〇,ホテルツインA<br/>ホテルツインC<br/>ホテルシングルA<br/>ホテルシングルC,ホテルエノコ福井駅前(男・女),ホテルツインA<br/>ホテルツインC<br/>ホテルシングルA<br/>ホテルシングルC,1・2名,男・女,福井市日之出１丁目1-17,0776-23-5300,洋室,ベッド,×,スクールバス10分,常駐,各室/ユニット,○各室,○,ビデオ・オン・デマンド,○各室,×,○各室,○,○,○,×ご持参ください,×ご持参ください,○,○,×,○,○,×,各室/一括管理,管理人が3日に1回,管理人が3日に1回,○2台（1回/300円）,○1台（10分/100円）,洗濯機から自動投入,個人で３個,部屋干し,○（禁煙部屋除く）,○,無線LAN,×,2Fフロント横バイキング/バイキング,6：30～9：00,教習所/お弁当,11：30～14：30,ホテル内でお弁当支給/定食,17：00～21：00頃,徒歩1分,徒歩3分,車5分,ローソン徒歩2分,徒歩5分,
〇,ホテルツインA<br/>ホテルツインC<br/>ホテルシングルA<br/>ホテルシングルC,ホテル京福 福井駅前(男・女),ホテルツインA<br/>ホテルツインC<br/>ホテルシングルA<br/>ホテルシングルC,1・2名,男・女,福井市日之出1-18-1,0776-24-8800,洋室,ベッド,×,スクールバス10分,常駐,各室/ユニット,○各室,○,×,○各室,×,○各室,○,○,○,×ご持参ください,×ご持参ください,×ご持参ください,○,×,○,○,○部屋（鍵無し）,各室/一括管理,管理人が週に2回,管理人が週に2回,○（1回/200円）,○1台（40分/100円）,○30円,個人で３個,部屋干し,○（禁煙部屋除く）,○,LANケーブル各室設置,宿舎に4台,ホテル1Fレストラン桜木/定食,6：30～9：30,教習所/お弁当,11：30～14：30,徒歩2分　石田屋（男性）/定食<br/>徒歩5分　星みっつ（女性）/定食,18：00～,徒歩1分,徒歩3分,車5分,ローソン徒歩2分,徒歩5分,
〇,ホテルシングルB<br/>ホテルツインB,ホテルリバージュアケボノ(男・女),ホテルシングルB<br/>ホテルツインB,1・2名,男・女,福井市中央3-10-12,0776-22-1000,洋室,ベッド,１時,スクールバス１０分,常駐,○各室（ユニット）,○各室,○,×,○,×,○,○,○,○,○,○,○,×ご持参ください,×,○,○,×,各室/一括管理,管理人が毎日,管理人が毎日,○３台（１回２００円）,○３台（３０分/1００円）,○５０円,個人で２個（足りない時はフロントで対応）,部屋干し,○（禁煙部屋除く）,○,,○宿舎に４台,ホテル内レストラン桜ばし/6：45～9：30,バイキング,教習所/11：30～14：30,お弁当,ホテル内レストラン桜ばし/17：00～21：00,,徒歩１２分,徒歩２分,車10分,ファミマ徒歩５分/スーパー徒歩７分,,
×,※インターネットLAN環境のある場合、PCはご持参ください。<br/>※満室時には他の宿舎をご利用いただく場合がございます。(途中移動を含む)<br/>(注1)ホテルツインC・ホテルシングルCの場合、夕食はついていません。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
