スポット名,ファイル名,説明,リンク
千灯籠まつり,spot01,教習所から徒歩3分。毎年8月23日、24日は江迎町で千灯籠まつりが開催されます。<br/>昼は水掛け地蔵のおみこし、夜は花火がお目にかかれます。<br/>合宿生専用宿舎から花火が綺麗に見えるので、2Fのテラスでは合宿生が集まって花火鑑賞会が行われますよ。,
鹿町温泉「美人の湯」,spot02,教習所から徒歩7分。近所には源泉かけ流しの温泉があり、ぬるぬるとした手触りで肌の脂肪分や分泌物を良く落とすことから「美人の湯」とも呼ばれます。<br/>教習の疲れた体を癒しに行ってみてください。,http://www.shikamachi-onsen.com/
まゆ玉作り体験,spot03,教習所から徒歩3分。江迎町は毎年春になると、「まゆ玉祭り」が開催され、町の至る所にまゆ玉が飾られ、町全体が可愛らしい雰囲気になります。<br/>教習所の近くにも、「まゆ玉」を作れるお店があります。コロンっと可愛くて女子に大人気！<br/>徒歩3分なので教習の合間に行く事が出来ますよ♪,
「八起」の名物ママ,spot04,教習所から徒歩5分。おいしいちゃんぽんが食べられるお店「八起(やおき)」。<br/>ママとチカちゃんが優しく出迎えてくれます。（写真右側がママ）ほかほかのおでんや、長崎名物の皿うどんも食べれます。,
平戸の足湯、うで湯,spot05,教習所からバスで約30分。<br/>平戸巡りその1☆<br/>完全休校日の日曜日に、ちょっと足を伸ばして平戸観光に行ってみてはいかがでしょうか。平戸は情緒豊かな城下町で、レトロな建物がたくさん☆<br/>こちらは、足湯でちょっとひと休み。平戸には全国でも珍しい「うで湯」もあります。,
平戸の教会,spot06,教習所からバスで約30分。<br/>平戸巡りその2☆<br/>平戸は世界遺産候補「長崎と天草地方の潜伏キリシタン関連遺産」の街。<br/>数々の教会があり、ザビエル像もあります。,
海岸を乗馬,spot07,教習所からバスで約45分。<br/>平戸巡りその3☆<br/>シービューランチでは、乗馬が初めての方でも、安心して楽しめます。<br/>海岸沿いを馬に乗って走る快感は最高です☆,http://h-svr.com/
海鮮丼,spot08,教習所からバスで約40分。<br/>平戸巡りその4☆<br/>お魚の宝庫でもある平戸は、活きのいい海鮮丼が食べられます。海を展望しながら食事できる席もあります☆<br/>平戸大橋を見ながら、さっきまで泳いでいたお魚を食すなんてなんて贅沢・・・！,http://www.setoichiba.com/
休み時間はテラスでひとやすみ,spot09,教習所敷地内。<br/>合宿生専用宿舎「パークアベニュー江迎」は1Fにも2Fにもテラスがあり、いわゆる「合宿寮」とは違ったオシャレな空間に合宿生からは「おぉ～！」「すごい！」などの声もあがっています。,
イベント・夏,spot10,江迎校では、独自にイベントを行っております。<br/>写真は、夏のイベントの様子。日本一の夕日のスポットにバスツアーをしたり、お手製の装置で流しそうめんをしました。今年のイベントは何かな♪,
イベント・冬,spot11,こちらの写真は、冬のイベントの様子。<br/>石焼芋を焼いて皆で食べました。焼きたてホクホクの、あま～いさつま芋が大好評でした。,
お見送り風景,spot12,合宿最後の日。一緒に勉強した仲間や先生達とお別れ・・・。<br/>「今まで勉強した事忘れないでね、安全運転するんだよ。」江迎校では職員全員でお見送りします。,
