ホテル情報＝○　注釈＝×,宿泊情報,宿泊施設名,部屋定員,性別,住所,電話番号,部屋タイプ,寝具,門限,学校から所要時間,管理人,バス,トイレ,テレビ,DVD/ビデオ,冷蔵庫,レンジ,ポット,ドライヤー,ボディソープ,シャンプー,歯磨きセット,ひげそり,バスタオル,フェイスタオル,寝間着,スリッパ,クローゼット,金庫,エアコン,部屋掃除,シーツ交換,洗濯機,乾燥機,洗濯洗剤,ハンガー,洗濯干しスペース,タバコ,飲酒,インターネット,貸し自転車,朝食場所／時間,朝食内容,昼食場所／時間,昼食内容,夕食場所／時間,夕食内容,最寄り駅,銀行ATM,郵便局,病院,コンビニ,ﾌｧｰｽﾄﾌｰﾄﾞ
〇,"ホテルツインA
ホテルシングルA",松江プラザホテル(男),1・2名,男性のみのご案内,島根県松江市朝日町469-1,0852-26-6650,洋室,ベッド,22:00,ｽｸｰﾙﾊﾞｽ5分,常駐,各室（ユニットバス）,各室（本館はウォシュレット）,各室,-,各室,2階にあり,○,各室,○,○（ﾘﾝｽinｼｬﾝﾌﾟｰ),○,自販機（300円）,○,○,○,○,○（別館のみ）,×,○,従業員,毎日,○（1回200円）,○（30分100円）,○（1回分100円）,○,各室,○,○（未成年の方はご遠慮ください）,"Wi-Fi・光ｲﾝﾀｰﾈｯﾄ有線LAN接続（無料）
ＰＣはご持参ください。",×,本館1F喫茶or本館2F喫茶,モーニングセット,学校食堂12：00-13：30,日替わり定食、ﾗｰﾒﾝ定食、ｶﾚｰﾗｲｽ等,近隣ﾚｽﾄﾗﾝ(数箇所より選択）,日替わり定食等,ＪＲ松江駅（南口徒歩1分）,山陰合同銀行（徒歩5分）,中央郵便局（徒歩3分）,生協病院（車5分）,ローソン（徒歩1分）,ミスタードーナツ（徒歩5分）
〇,"ホテルツインA
ホテルシングルA",松江シティホテル(女),1・2名,女性のみのご案内,島根県松江市末次本町31,0852-25-4100,洋室,ベッド,22:00,ｽｸｰﾙﾊﾞｽ10分,常駐,各室（ユニットバス）,各室,各室,-,各室,本館3箇所・別館2階に有,○,各室,○,○（ﾘﾝｽinｼｬﾝﾌﾟｰ),○,自販機（100円）,○,○,○,○,○,×,○,従業員,毎日,○（1回200円）,○（20分100円）,（洗剤自動投入）,○,各室,○,○（未成年の方はご遠慮ください）,"Ｗｉ-Ｆｉ・光ケーブル無線ＬＡＮ有（無料）
ＰＣとＬＡＮカードはご持参ください。
本館ﾌﾛﾝﾄ横1台、別館2階に2台有",○（無料）,ﾎﾃﾙ「ﾙｰﾄｲﾝ」内ﾚｽﾄﾗﾝ,おにぎり・ﾊﾟﾝ・副菜等ﾊﾞｲｷﾝｸﾞ,学校食堂12：00-13：30,日替わり定食、ﾗｰﾒﾝ定食、ｶﾚｰﾗｲｽ等,近隣ﾚｽﾄﾗﾝ(数箇所より選択）,日替わり定食等,ＪＲ松江駅（車5分）,山陰合同銀行（徒歩3分）,中央郵便局（徒歩5分）,日赤病院（徒歩5分）,ローソン（徒歩5分）,
〇,"ホテルツインA
ホテルシングルA",ホテル東横イン松江(男・女),1・2名,男性・女性,島根県松江市朝日町498-10,0852-60-1045,洋室,ベッド,22:00,ｽｸｰﾙﾊﾞｽ6分,常駐,各室（ユニットバス）,各室,各室,ﾋﾞﾃﾞｵ･ｵﾝ･ﾃﾞﾏﾝﾄﾞ（有料）,各室,ロビーに有,湯沸しｻｰﾊﾞｰ有,各室,○,○,○,○,○,○,○,○,○,○,○,従業員,毎日,○（1回200円）,○（30分100円）,○（1回分30円）,○,各室,○,○（未成年の方はご遠慮ください）,"無線ＬＡＮ・Wi-Fi・有線ＬＡＮ
ＰＣはご持参下さい。
（無線希望の方はＬＡＮｶｰﾄﾞをご持参下さい）",○（無料）,ホテル内（7：00～9：30）,おにぎり・ﾊﾟﾝ・副菜等ﾊﾞｲｷﾝｸﾞ,学校食堂12：00-13：30,日替わり定食、ﾗｰﾒﾝ定食、ｶﾚｰﾗｲｽ等,近隣ﾚｽﾄﾗﾝ(数箇所より選択）,日替わり定食,ＪＲ松江駅（徒歩2分）,山陰合同銀行（徒歩1分）,中央郵便局（徒歩3分）,松江赤十字病院（車3分）,ローソン（徒歩2分）,
〇,"ホテルツインA
ホテルシングルA",松江アーバンホテル(男・女),1・2名,男性・女性,島根県松江市朝日町590-3,0852-22-0002,洋室,ベッド,22:00,ｽｸｰﾙﾊﾞｽ5分,常駐,各室（ユニットバス）,各室（ウォシュレット）,各室,-,各室,館内にあり,○,○（貸出：無料）,○,○（ﾘﾝｽinｼｬﾝﾌﾟｰ),○,○,○,○,○,×,○,×,○,従業員,毎日,1号館に有（1回300円）,1号館に有（10分100円）,○（1回分30円）,○,各室,○,○（未成年の方はご遠慮ください）,"LAN接続無料・無線ＬＡＮ(Ｗｉ-Ｆｉ)有
PCご持参ください。",○（無料）,1号館　館内ﾚｽﾄﾗﾝ7：00～10：00,和洋バイキング,学校食堂12：00-13：30,日替わり定食、ﾗｰﾒﾝ定食、ｶﾚｰﾗｲｽ等,ﾎﾃﾙ内又は近隣ﾚｽﾄﾗﾝ（数箇所より選択）,日替わり定食等,ＪＲ松江駅（徒歩1分）,山陰合同銀行（徒歩3分）,中央郵便局（徒歩1分）,生協病院（車5分）,ローソン（徒歩1分）,ミスタードーナツ（徒歩1分）
〇,"ホテルツインA
ホテルシングルA",ホテルルートイン松江(男・女),1・2名,男性・女性,島根県松江市東本町2-22,0852-20-6211,洋室・和室,ベッド・和室,22:00,ｽｸｰﾙﾊﾞｽ14分,常駐,各室（ユニットバス）,各室（ウォシュレット）,各室,有料（1泊1000円）,各室,×,○,各室,○,○,○,○,○,○,○,○,○,○,○,従業員,毎日,○（40分200円）,○（30分100円）,○（1回分40円）,○,各室,○,×,"無線ＬＡＮ・Wi-Fi
PC・LANｶｰﾄﾞはご持参ください。
（ﾉｰﾄﾊﾟｿｺﾝﾚﾝﾀﾙ1泊1,000円）",2台（無料：お1人様2時間まで）,ホテル内（7：00～9：00）,和洋バイキング,学校食堂12：00-13：30,日替わり定食、ﾗｰﾒﾝ定食、ｶﾚｰﾗｲｽ等,近隣ﾚｽﾄﾗﾝ(数箇所より選択）,日替わり定食,ＪＲ松江駅（徒歩12分）,島根銀行（徒歩1分）,東本町郵便局（徒歩3分）,日本赤十字病院（徒歩3分）,ローソン（徒歩2分）,
〇,"ホテルツインB
ホテルシングルB",グリーンリッチホテル松江駅前(男・女),1・2名,男女,島根県松江市朝日町493-1,0852-27-3000,洋室,ベッド,22:00,ｽｸｰﾙﾊﾞｽ6分,常駐,各室（ユニットバス）・人工温泉大浴場も有,各室,各室,-,各室,館内にあり,ﾃｨｰｻｰﾊﾞｰ,各室,○,○,○,ﾌﾛﾝﾄにてサービス・販売機もあり,○,○,○,○,○,×,○,従業員,毎日,○（1回200円）,○（30分100円）,○（1回50円）,○,各室,○,○（未成年の方はご遠慮ください）," Wi-Fi・無線ＬＡＮ接続無料
（ＰＣ・ＬＡＮｶｰﾄﾞはご持参下さい）
 ※ＬＡＮｶｰﾄﾞ貸出有
（保証金500円預かり→返却時返金）",×,ホテル内レストラン6：45～10：00,和洋バイキング,学校食堂12：00-13：30,日替わり定食、ﾗｰﾒﾝ定食、ｶﾚｰﾗｲｽ等,近隣ﾚｽﾄﾗﾝ(数箇所より選択）,日替わり定食等,ＪＲ松江駅（徒歩1分）,山陰合同銀行（徒歩3分）,中央郵便局（徒歩2分）,松江生協病院（車5分）,ローソン（徒歩1分）,ミスタードーナツ（徒歩1分）
〇,"ホテルツインB
ホテルシングルB",松江ニューアーバンホテル(男・女),1・2名,男女,島根県松江市西茶町40-1,0852-23-0003,洋室,ベッド,22:00,ｽｸｰﾙﾊﾞｽ15分,常駐,各室（ユニットバス）・温泉大浴場も有,各室,各室,-,各室,館内にあり,○,各室,○,○（ﾘﾝｽinｼｬﾝﾌﾟｰ),○,○,○,○,○,○,○,×,○,従業員,毎日,○（1回150円）,○（10分100円）,○（1回30円）＊ｺﾝﾋﾞﾆにて,○,各室,○,○（未成年の方はご遠慮ください）,"Ｗｉ-Ｆｉ・ 無線ＬＡＮ接続無料
（ＰＣ・ＬＡＮｶｰﾄﾞはご持参下さい）
ロビーにインターネット端末あり（無料）",○(1時間無料）,ホテル内レストラン,和洋バイキング,学校食堂12：00-13：30,日替わり定食、ﾗｰﾒﾝ定食、ｶﾚｰﾗｲｽ等,近隣ﾚｽﾄﾗﾝ(数箇所より選択）,日替わり定食等,ＪＲ松江駅（車10分）,市役所内ATM(徒歩1分）,県庁内（徒歩3分）,日赤病院（自転車5分）,Ｙショップ（館内）7：00～24：00,
〇,"ホテルツインB
ホテルシングルB",ホテルアルファーワン第2松江(男・女),1・2名,男女,島根県松江市朝日町461,0852-26-7800,洋室,ベッド,22:00,ｽｸｰﾙﾊﾞｽ5分,常駐,各室（ユニットバス）,各室（ｳｫｼｭﾚｯﾄ）,各室,-,各室,館内にあり,電磁ｻｰﾊﾞｰ（湯沸かし器）,各室,○（固形石鹸はﾌﾄﾝﾄにあります。),○（ﾘﾝｽinｼｬﾝﾌﾟｰ),○,○,○,○,○,○,○,×,○,従業員,毎日,○（1回200円）7：30～22：30,○（30分100円）7：30～22：30,○（1回30円）,○,各室,○,○（未成年の方はご遠慮ください）,"各室にＰＣ設置あり
※持参ＰＣの場合はＬＡＮカードを
ご持参下さい。
Ｗｉ-Ｆｉも利用可能。",×,ホテル内レストラン6：30～10：00,和洋バイキング,学校食堂12：00-13：30,日替わり定食、ﾗｰﾒﾝ定食、ｶﾚｰﾗｲｽ等,近隣ﾚｽﾄﾗﾝ(数箇所より選択）,日替わり定食等,ＪＲ松江駅（南口徒歩1分）,山陰合同銀行（徒歩5分）,中央郵便局（徒歩2分）,生協病院（車5分）,ローソン（徒歩1分）,ミスタードーナツ（徒歩5分）
〇,ホテルツインB,松江エクセルホテル東急(男・女),2名,男女,島根県松江市朝日町590,0852-27-0109,洋室,ベッド,なし,ｽｸｰﾙﾊﾞｽ7分,常駐,各室（ユニットバス）・温泉大浴場も有,各室,各室,-,各室,-,○,各室,○,○（ﾘﾝｽinｼｬﾝﾌﾟｰ),○,○,○,○,○,○,○,×,○,従業員,毎日,"×（故障中）
近隣のコインランドリーを
ご利用いただきます",,,○,各室,○,○（未成年の方はご遠慮ください）," Ｗｉ-Ｆｉ・高速ＬＡＮ接続無料
（ＰＣ・ＬＡＮｶｰﾄﾞはご持参下さい）",×,ホテル内レストラン7：00～10：00,バイキング,学校食堂12：00-13：30,日替わり定食、ﾗｰﾒﾝ定食、ｶﾚｰﾗｲｽ等,近隣ﾚｽﾄﾗﾝ(数箇所より選択）,日替わり定食等,ＪＲ松江駅（徒歩3分）,山陰合同銀行（徒歩2分）,中央郵便局（徒歩1分）,松江生協病院（車5分）,ローソン（徒歩3分）,ミスタードーナツ（徒歩5分）
×,"※インターネットLAN環境のある場合、PCはご持参ください。
※上記ホテルが満室の場合、米子市のホテル(東横インなど)に移動していただく場合があります。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
