ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,"レギュラー
（昼・夕食のみセット）
自炊トリプル・フォース",ＮＥＸＴ10（男）,送迎バス15分,3～4名,〇,〇,〇,無料,無料,Wi-Fi,徒歩5分,-,校内食堂,飲食店4か所から選択
〇,トリプル・フォース,木林森カフェＢ＆Ｂ（男・女）,送迎バス10分,3・4名,共同,〇,〇,"徒歩3分
コインランドリー
500円/1回","徒歩3分
コインランドリー
100円/10分",Wi-Fi,徒歩3分,宿舎食堂,校内食堂,校内食堂
〇,"グループＡ
（4～5名 1室）",黒沢温泉　喜三郎（男・女）,送迎バス40分,4～5名,共同,〇,〇,有料（500円/1回）,有料（100円/ 1回）,-,バス5分,校内食堂,校内食堂,校内食堂
〇,"グループＢ
（4～5名 1室）",鷹野湯温泉 パレス松風（男・女）,送迎バス10分,4～5名,〇,〇,〇,無料,無料,-,バス5分,宿舎食堂,校内食堂,宿舎食堂
〇,シングル,ウィークリー的場（男・女）,送迎バス20分,1名,〇,〇,〇,有料（100円/1回） ,有料（100円/30分） ,徒歩2分,徒歩2分,宿舎食堂,校内食堂,宿舎食堂
〇,ホテルシングルA,ホテルイズミヤ（女）,送迎バス15分,1名,〇,〇,〇,有料（200円/1回）,有料（100円/1回）,Wi-Fi,徒歩5分,ホテル食堂,校内食堂,近隣レストラン
〇,"ホテルシングルB
ホテルツイン",タス・パークホテル（男・女）,送迎バス15分,1名・2名,〇,〇,〇,有料（200円/1回）,有料（100円/40分）,Wi-Fi,徒歩6分,ホテルレストラン,校内食堂,ホテルレストラン
〇,ツイン,Ｓ－ビレッジ（男・女）（注1）,徒歩2分,2名,共同,〇,〇,有料（100円/1回） ,有料（100円/30分）,Wi-Fi,徒歩2分,校内食堂,校内食堂,校内食堂
〇,"自炊トリプル
（昼食のみセット）
※4名 1室も可",ＮＥＸＴ10（男）,送迎バス15分,3～4名,〇,〇,〇,無料,無料,Wi-Fi,徒歩5分,-,近隣レストラン,-
〇,"自炊トリプル
（昼食のみセット）
※4名 1室も可",プレジデンシャル長井（男・女）,送迎バス10分,3～4名,〇,〇,〇,無料,無料,-,徒歩10分,-,校内食堂,-
×,"※満室時には他の宿舎をご利用いただく場合があります。（途中移動を含みます）
※規定宿泊数を超えた場合、宿舎を移動していただくことがあります。
※記載の内容は予告なく変更される場合があります。",,,,,,,,,,,,,
