料金表ヘッダーテキスト。,"MT車：税込18,900円UP 
動二輪免許所持 税込12,960円引
別途料金 仮免許試験手数料：1,700円（非課税）/回（不合格の場合、受験ごとに必要）
仮免許交付手数料：1,150円（非課税）",,,,
料金表フッターテキスト。,"（※1）夕食は近隣の提携店舗をご利用ください（食券お渡し）。
（※2）7/18～9/20の入校でご利用いただけます。",,,,
うれしい特典テキスト。,"イベント歓迎会開催（8/1～9/30入校者の方・期間中１回）
大人気！！山形名物「いも煮会」　この味 やみつきになりますよ！
山形名産のスイカをたくさん召し上がれ！
（スイカDAY　8月入校の方期間中1回）
卯の花温泉「はぎ乃湯」無料入湯券プレゼント
（希望者・回数制限なし）
「Made　in　山形」見学ツアー
山形の歴史・美味・職人技に触れてみよう！
（期間中1回ご招待）
☆白鷹の郷土料理満喫し日本一のヤナ場を見学☆
山形の魅力を現地スタッフがご案内。
これを機に移住したくなるかも！？
（※4月～6月入校・普通車の方限定)",,,,
宿泊プラン,"ギュラー（男性）
(昼・夕食のみｾｯﾄ)
【NEXT10】（※1）","グループユース
（3～4名 1室利用）
【木林森ｶﾌｪ・B&B】（※2）","ツイン
【S-ビレッジ】","シングル
【ウィークリー的場】（※2）
【ホテルイズミヤ】（※2）","自炊グループ
（3～4名 1室利用）
（昼食のみセット）
【ﾌﾟﾚｼﾞﾃﾞﾝｼｬﾙ長井】
【NEXT10】"
4/1～6/30,182000,-,182000,-,168000
"7/1～7/24
9/14～11/30",188000,188000,188000,193000,170000
"7/25～7/31
9/6～9/13",220000,227000,225000,228000,202000
"8/1～8/2
9/1～9/5",250000,257000,255000,258000,232000
"8/3～8/13
8/17～8/31",265000,272000,270000,273000,247000
8/14～8/16,274000,281000,279000,282000,256000
