料金表ヘッダーテキスト。,"MT車：税込19,440円UP（4月～6月税込18,900円UP）
自動二輪免許所持：税込12,960円引",,,,,
料金表フッターテキスト。,"※ホテルツインCはホテルシングルCの税込5,400円引
※以下の日程のツインAは税込4,320円UP
7/25～8/31、9/6～9/13

（※1）昼夕食付は税込10,800円UP
※61歳以上の方はお問い合わせください。",,,,,
うれしい特典テキスト。,"天童天童最上川温泉「ゆぴあ」入浴券プレゼント（山形県最大級の露天風呂で心も体もリフレッシュ！）
歓迎イベント（7月下旬～9月下旬不定期開催）（山形名物“いも煮”と“玉こん”でおいしい山形を満喫しながら、たくさんの友達ができしゃうゾ?）
アイスクリーム無料券プレゼント（女性限定）
お寿司デー開催（滞在中1回）",,,,,
宿泊プラン,"グループユース（4名以上）
ホテルツインD（昼食のみセット）
ホテルシングルD（昼食のみセット）（※1）","トリプル・ツインB
ホテルトリプルB
ホテルシングルA",ホテルツインB,"ホテルシングルB
ホテルトリプルC
（昼・夕食のみセット）","ホテルシングルC
（昼・夕食のみセット）","自炊ツイン
（昼食のみセット）"
4/1～6/30,182000,187000,190000,192000,202000,168000
"7/1～7/24
9/14～11/30",188000,193000,196000,198000,208000,170000
"7/25～7/31
9/6～9/13",223000（※2）,228000,231000,233000,243000,205000
"8/1～8/2
9/1～9/5",253000（※2）,258000,261000,263000,273000,235000
"8/3～8/13
8/17～8/31",268000（※2）,273000,276000,278000,288000,250000
8/14～8/16,277000（※2）,282000,285000,287000,297000,259000
