ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,レギュラー?グループユース,黒沢温泉　喜三郎（男）,送迎バス20分,4～5名,共同,○,○,"500円/1回
（週2回お連れいたします） ","100円/1回
（週2回お連れいたします） ",-,徒歩 5分,ホテル食堂,教習所,ホテル食堂
〇,ホテルシングルA,ホテルセンチュリー山形（男・女）,送迎バス15分,1名,各室,○,○,100円/1回,100円/30分,Wi-Fi,徒歩 6分,ホテル食堂,教習所,ホテル食堂
〇,ホテルツインＡ　 ホテルトリプルＡ　 ホテルシングルB,グリーントーホク（男・女）,送迎バス10分,1・2・3名,各室,○,○,"100円～/1回
（30分/100円・
タイマー制のため洗濯物の量により異なります）",-,Wi-Fi,徒歩6分,ホテルレストラン,教習所,ホテルレストラン
〇,ホテルツインＡ　?ホテルシングルB,キャピタルイン山形（男・女）,送迎バス8分,1・2名,各室,○,○,"男性（200円/1回）
女性（洗濯＋乾燥機　300円～/1回）","男性（１００円/30分）
女性（洗濯＋乾燥機　300円～/1回）",Wi-Fi,徒歩3分,ホテル食堂,教習所,ホテル食堂
〇,ホテルツインＡ　?ホテルトリプルＡ　?ホテルシングルＢ,ホテルさくらんぼ（男・女）,送迎バス8分,1・2・3名,各室,○,○,300円/1回,100円/30分,Wi-Fi,徒歩 4分,ホテル食堂,校内食堂,ホテル食堂
〇,ホテルツインＢ　?ホテルトリプルＢ　?ホテルシングルC,七日町ワシントンホテル（男・女）,送迎バス6分,1・2・3名,各室,○,○,無料,無料,有線LAN・ｗｉ-ｆｉ,ホテル1階,-,教習所,ホテルレストラン・和食堂
〇,ホテルツインＤ　?ホテルシングルＤ,ホテルエール（男・女）,送迎バス10分,1・2名,各室,○,○,無料,無料,Wi-Fi,徒歩3分,-,教習所,-
〇,ツイン,スカイコート（女）（注1）,送迎バス10分,2名,各室,○,○,無料,無料,Wi-Fi,徒歩2分,近隣（徒歩約3分）の提携施設内食堂,教習所,近隣（徒歩約3分）の提携施設内食堂
〇,ツイン,Ｊハウス（男）,送迎バス10分,2名,各室,○,○,無料,-,Wi-Fi,徒歩5分,隣接のホテル,校内食堂,近隣のホテル
〇,自炊ツイン,スカイコート（男・女）（注2）,送迎バス10分,2名,各室,○,○,各室,-,Wi-Fi,徒歩2分,-,教習所,-
〇,自炊ツイン,ドリーム松波（男・女）,送迎バス5分,2名,各室,○,○,無料,-,有線LAN,徒歩1分,-,教習所,-
〇,自炊ツイン,コアステージ（女）,送迎バス5分,2名,各室,○,○,無料,無料,Wi-Fi,徒歩3分,-,教習所,-
〇,自炊ツイン,Ｊハウス（男）,送迎バス10分,2名,各室,○,○,無料,-,Wi-Fi,徒歩5分,-,教習所,-
×,"※満室時には他の宿舎をご利用いただく場合があります。（途中移動を含みます）
※規定宿泊数を超えた場合、宿舎を移動していただくことがあります。
※記載の内容は予告なく変更される場合があります。",,,,,,,,,,,,,
