料金表ヘッダーテキスト。,"MT車：税込19,440円UP（4月～6月税込18,900円UP）
自動二輪免許所持：税込12,960円引",,,,,
料金表フッターテキスト。,※61歳以上の方はお問い合わせください。,,,,,
うれしい特典テキスト。,"歓迎イベント開催（期間中1回）山形名物「いも煮」や「玉こん」でおもてなし！（7月下旬～9月中旬に入校の方）
ボウリング1ゲーム無料券プレゼント（市内のボウリング場でリフレッシュ）
初心者マークプレゼント
仮免学科試験満点賞記念プレゼント",,,,,
宿泊プラン,"レギュラー
グループユース（4名以上）","トリプル
ツインA",ホテルシングルA,ツインB,ホテルツイン,ホテルシングルB
4/1～6/30,182000,182000,187000,-,192000,197000
"7/1～7/24
9/14～11/30",188000,188000,193000,195000,198000,203000
"7/25～7/31
9/6～9/13",223000,227000,228000,230000,233000,238000
"8/1～8/2
9/1～9/5",253000,257000,258000,260000,263000,268000
"8/3～8/13
8/17～8/31",268000,272000,273000,275000,278000,283000
8/14～8/16,277000,281000,282000,284000,287000,292000
