カレンダーの<span>●</span>の日,,,,,,
企画名,タイトル,注釈,対象入校日,金額,金額追加情報,備考
限定割,レギュラーC・シングルユース（AT車）,,,195000,15000,30歳までの方に限る（失効など2回目の免許取得時には適用）<br/>ＭＴ車　税込16200円ＵＰ<br/>宿泊プランはレギュラーCのみ<br/>カレンダーの<span>●</span>の日
,,,,,,
春特,レギュラーC（AT車）,,,205000,15000,30歳までの方に限る（失効など2回目の免許取得時には適用）<br/>ＭＴ車　税込16200円ＵＰ<br/>宿泊プランはレギュラーCのみカレンダーの<span>●</span>の日
,,,,,,
,,,,,,
年末一時帰宅,,,,,,年末年始は自宅でゆっくり過ごせるプラン。一時帰宅交通費付き(往復上限1万円まで）<br/>※交通費の支給額は、お申し込み時要確認。<br/>
,,,,,,
,,,,,,
,,,,,,
オフシーズン一時帰宅コース,,,,,,2週間連続でお休みがとれない方。　<br/>※一時帰宅交通費付き(往復上限1万円まで）<br/>※対象期間は基本、オフシーズン（料金表の青色期間）。ご相談可能。<br/>※出発地によって交通費支給額が異なります。お尋ねください。<br/>※対象期間：10/1～1/16　3/25～5/31
シングルユース,,,,,,レギュラー部屋をレギュラー料金でおひとりでご利用できます。<br/>※ご希望の方は、お申し込み時に要申請。<br/>※対象期間：10/1～1/18　3/24～5/31<br/>※宿泊プランはレギュラーCのみ
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
