<br>カレンダーの<span>●</span>の日,,詳細については<a href="https://happymenkyo.com/ask">オペレーター</a>までお問い合わせください,,,,
企画名,タイトル,注釈,対象入校日,金額,金額追加情報,備考
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
年末一時帰宅,,,,,,詳細については<a href="https://happymenkyo.com/ask">オペレーター</a>までお問い合わせください
,,,,,,
,,,,,,
,,,,,,
,,,,,,
シングルユース,,,,,,10/1～1/15・4/10～5/31（女性限定　パラシオ）
,,,,,,
特割Ⅰ,シングルユース(※１)・シングルA・<br/>トリプルユース(※2)・ツインA<br/>（AT車）,,,205000,20000,シングルユース(※1)・シングルA<br/>トリプルユース(※2)・ツインA<br/>※25歳までの方に限る<br/>レギュラー部屋を1人(※1)・3人（※2）で使用OK<br/>宿泊先：パラシオグランデ<br>カレンダーの<span>●</span>の日
女性限定特割Ⅱ,ツインB・シングルB<br/>（AT車）,,,210000,20000,ツインB・シングルB・シングルユースB<br/>※25歳までの方に限る<br/>※１人使用可<br/>宿泊先：バレーヌヒルズ<br>カレンダーの<span>●</span>の日
