<br>カレンダーの<span>●</span>の日,,詳しくは<a href="https://happymenkyo.com/ask">オペレーター</a>までお問い合わせください,,,,
企画名,タイトル,注釈,対象入校日,金額,金額追加情報,備考
限定割,レギュラー・シングルユース（AT車）,,,195000,15000,30歳までの方に限る<br/>ＭＴ車　税込16200円UP<br/>ホテルツインは税込5400円UP<br/>ホテルシングルは税込8100円UP<br>カレンダーの<span>●</span>の日
,,,,,,
春特,レギュラー（AT車）,,,205000,15000,30歳までの方に限る<br/>ＭＴ車　税込16200円UP<br/>ホテルツインは税込10800円UP<br/>ホテルシングルは税込10800円UP<br>カレンダーの<span>●</span>の日
,,,,,,
,,,,,,
年末一時帰宅,,,,,,年末年始は自宅でゆっくり過ごせるプラン。一時帰宅交通費付き(往復上限：11020円）<br/>※交通費の支給額は、お申し込み時要確認。<br>カレンダーの<span>●</span>の日
卒業日一時帰宅,,,,,,卒業見込みの学生さん対象のプラン。一時帰宅交通費付き(往復上限：11020円）<br/>※ご希望の方は、お申込み時に要申請。<br/>※交通費の支給額は、お申し込み時に要確認。<br/>※原則として、2泊の外泊。(予行演習の前日に帰宅、卒業式翌日再入校）
,,,,,,
,,,,,,
,,,,,,
シングルユース,,,,,,レギュラー部屋（2～4人）をレギュラー料金でおひとりでご利用できます。<br/>※ご希望の方は、お申し込み時に要申請。<br/>※対象期間：10/1～1/18　４/１～5/31
グループユース,,,,,,レギュラー部屋（2～6人）をレギュラー料金でグループ(2名以上）でご利用可が能。<br/>※ご希望の方は、お申し込み時に要申請。
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
