カレンダーの<span>●</span>の日,,,,,,
企画名,タイトル,注釈,対象入校日,金額,金額追加情報,備考
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
年末一時帰宅,,,,,,年末年始は自宅でゆっくり過ごせるプラン。一時帰宅交通費付き(上限あり）<br/>※交通費の支給額は、お申し込み時要確認。<br/>カレンダーの<span>●</span>の日
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
シングル特割,シングル・ツイン・レギュラー,,,195000,,ＡＴ車<br/>35歳までの方対象<br/>ＭＴ車税込16200円ＵＰカレンダーの<span>●</span>の日
二輪同時オフ料金,シングル,,,254000,,普通（ＡＴ）＋普通二輪（ＭＴ）　３０歳まで<br/>入校日：10/1 ～11/7 ・ 4/1 ～5/31の月・水・土<br/>普通(ＭＴ)　＋　普通二輪(ＭＴ)税込10800円ＵＰカレンダーの<span>●</span>の日
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
