<br>カレンダーの<span>●</span>の日,,"詳細については<a href=""https://happymenkyo.com/ask"">オペレーター</a>までお問い合わせください",,,,
企画名,タイトル,注釈,対象入校日,金額,金額追加情報,備考
限定割,ホテルシングルA（ＡＴ車）,,,202500,15000,"・30歳までの方に限る
・ＭＴ車　税込16,200円ＵＰ
・ホテルツインAは税込2,700円引き<br>カレンダーの<span>●</span>の日"
,,,,,,
春特,ホテルツインＡ　ホテルシングルA（ＡＴ車）,,,215000,15000,"・30歳までの方に限る
・ＭＴ車　税込16,200円ＵＰ



<br>カレンダーの<span>●</span>の日"
ゴールド,ホテルツインＡ　ホテルシングルA（ＡＴ車）,,,238500,15000,"・30歳までの方に限る
・ＭＴ車　税込16,200円ＵＰ



<br>カレンダーの<span>●</span>の日"
,,,,,,
年末一時帰宅,,,,,,"年末年始は自宅でゆっくり過ごせるプラン。一時帰宅交通費付き(上限あり）
※交通費の支給額は、お申し込み時要確認。
<br>カレンダーの<span>●</span>の日"
,,,,,,
ツイン特別,,,,200000,15000,"・30歳までの方に限る。
※同性2人でのお申込み
※対象期間：10/1～1/18　3/24～5/31<br>カレンダーの<span>●</span>の日"
二輪同時特別,普通AT車+普通二輪（MT科）,,,252000,15000,"・30歳までの方に限る
・普通ＭＴ車+普通二輪（ＭＴ科）は税込285,660円



<br>カレンダーの<span>●</span>の日"
オフシーズン一時帰宅コース,,,,,,"2週間連続でお休みがとれない方。　交通費最大2往復分支給。
※対象期間は基本、オフシーズン（料金表の青色期間）。ご相談可能。
※出発地によって交通費支給額が異なります。お尋ねください。<br>カレンダーの<span>●</span>の日"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
