ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,"トリプル
ツインA・B
シングル",温泉旅館竹葉(女),送迎バス10分,1・2・3名,共用,〇,共用,無料,無料,Wi-Fi,自転車5分,宿舎,（注1）,宿舎
〇,"ツインB
ホテルツインA
ホテルシングルA",松江プラザホテル(男),送迎バス25分,1・2名,〇,〇,〇,税込200円～/1回,税込100円～/30分,Wi-Fi,徒歩1分,宿舎,（注1）,近隣
〇,"ツインB
ホテルツインA
ホテルシングルA",松江シティホテル(女),送迎バス30分,1・2名,〇,〇,〇,税込200円～/1回,税込100円～/20分,Wi-Fi,徒歩5分,近隣,（注1）,近隣
〇,"ツインB
ホテルツインA
ホテルシングルA",ホテル東横イン松江(男・女),送迎バス25分,1・2名,〇,〇,〇,税込200円～/1回,税込100円～/30分,Wi-Fi,徒歩2分,宿舎,（注1）,近隣
〇,"ツインB
ホテルツインA
ホテルシングルA",松江アーバンホテル(男・女),送迎バス25分,1・2名,〇,〇,〇,税込300円～/1回,税込100円～/10分,Wi-Fi,徒歩1分,宿舎,（注1）,近隣
〇,"ツインB
ホテルツインA
ホテルシングルA",ホテルルートイン松江(男・女),送迎バス30分,1・2名,〇,〇,〇,税込200円～/40分,税込100円～/30分,Wi-Fi,徒歩2分,宿舎,（注1）,近隣
〇,"ホテルツインB
ホテルシングルB",グリーンリッチホテル松江駅前(男・女),送迎バス25分,1・2名,〇,〇,〇,税込200円～/1回,税込100円～/30分,Wi-Fi,徒歩1分,宿舎,（注1）,近隣
〇,"ホテルツインB
ホテルシングルB",ホテルアルファーワン第2松江(男・女),送迎バス25分,1・2名,〇,〇,〇,税込200円～/1回,税込100円～/30分,各室PC有,徒歩1分,宿舎,（注1）,近隣
〇,"ホテルツインB
",松江エクセルホテル東急(男・女）,送迎バス25分,2名,〇,〇,〇,近隣のコインランドリー(徒歩1分),近隣のコインランドリー(徒歩1分),Wi-Fi,徒歩3分,宿舎,（注1）,近隣
×,"※上記以外にも〔ホテルツインB・ホテルシングルB〕松江ニューアーバンホテル(男・女)をご利用いただきます。
※インターネットLAN環境のある場合、PCはご持参ください。
※満室の場合は他の宿舎をご利用いただく場合がございます。(途中移動を含む)
(注1)昼食は近隣の飲食店・コンビニまたは手作り宅配弁当をご利用ください。(1食500円支給：MT8,000円、AT7,000円を入校時支給)
",,,,,,,,,,,,,
